publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2019-11-20	19	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2019-12-20	8	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2019-07-31	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2019-10-19	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2019-12-20	104	12	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2019-11-01	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JAMPE19	current	2021-10-01
Architectura	0044-863X	2569-1554	2016-05-20	46	1	2019-10-20	49	2	https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P	JAMPE19	current	2021-10-01
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2019-12-15	67	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JAMPE19	current	2021-10-05
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2019-10-30	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2019-12-15	29	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2019-07-20	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-04
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2019-09-30	31	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2019-12-20	73	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2019-12-16	26	4	https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P	JAMPE19	current	2021-10-01
i-com	1618-162X	2196-6826	2001-08-20		O	2019-12-15	18	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JAMPE19	current	2021-10-01
